,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
425,20171121.mvd2 [2017nov21_OrR_YFP_DAPI_DLG_SYP_60x_mb_calyx],406899,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
426,20171121.mvd2 [2017nov21_OrR_YFP_DAPI_DLG_SYP_60x_mb_lobes 2],406900,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
427,20171121.mvd2 [2017nov21_OrR_YFP_DAPI_DLG_SYP_60x_cb_anlagen],406901,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
428,20171121.mvd2 [2017nov21_OrR_YFP_DAPI_DLG_SYP_60x_cb_nbs],406902,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
429,20171121.mvd2 [2017nov21_OrR_YFP_DAPI_DLG_SYP_60x_OL],406903,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
430,2017nov24_CPTI0002636_YFP_DAPI_SYP_DLG_20x_0001.oir,407225,1.242961138804478,3.0,140.0,3,"['420.0', '570.0', '500.0', 0, 'CH1', 'CH3', 'CH4', 0]"
431,20171129.mvd2 [2017nov29_CPTI002315_YFP_DAPI_DLG_SYP_60x_mb_lobes],409368,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
432,20171129.mvd2 [2017nov29_CPTI002315_YFP_DAPI_DLG_SYP_60x_mb_calyx],409370,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
433,20171129.mvd2 [2017nov29_CPTI002315_YFP_DAPI_DLG_SYP_60x_cb_anlagen],409371,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
434,20171129.mvd2 [2017nov29_CPTI002315_YFP_DAPI_DLG_SYP_60x_cb_nbs],409372,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
435,20171129.mvd2 [2017nov29_CPTI002315_YFP_DAPI_DLG_SYP_60x_OL],409373,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
436,20171129.mvd2 [2017nov29_OrR_YFP_DAPI_DLG_SYP_60x_mb_calyx],409375,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
437,20171129.mvd2 [2017nov29_OrR_YFP_DAPI_DLG_SYP_60x_cb_anlagen],409376,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
